,MgO Bulk,MgO Surface,TiO2 Bulk,TiO2 Surface
PBE,6.659851381700049,6.147044934771932,5.667054864943639,5.003354114273542
BP86,6.849388432261461,6.306724926661034,5.712712017988708,5.055447255977319
BLYP,7.114247392353136,6.5392592313986055,5.657922354799422,4.910530402538178
TPSS,6.867414739973538,6.335920103129706,5.861334669364246,5.145951404955258
SCAN,7.42573749790309,6.744899365150814,6.27424787403763,5.4300558994485195
PBE0,6.986622327113743,6.390753137309227,6.070755648642731,5.4068055260142724
HSE06,7.062955756853889,6.455347982783096,6.083727340813145,5.40029055872061
B3LYP,7.405841976684689,6.7611883039094955,6.054207444423497,5.317881210290372
wB97X,7.3370938032582975,6.787339072336361,6.277770117485628,5.4915931085873035
LB2PLYP,7.578954371432038,7.010278541649798,6.149650383411901,5.517972118756329
LMP2,7.840681489116202,7.414824277081845,6.438981168861976,5.524457009890224
LNO-CCSD,7.9468420915958315,7.238679436009551,6.755711851810858,5.634965475682417
LNO-CCSD(T),7.677590740556864,7.181550184415283,6.431928412422414,5.584091722263089
