,MgO Bulk,MgO Surface,TiO2 Bulk,TiO2 Surface,MAE
PBE,-1.017739358856815,-1.0345052496433507,-0.7648735474787749,-0.5807376079895477,0.8494639409921221
BP86,-0.8282023082954035,-0.8748252577542486,-0.7192163944337056,-0.5286444662857699,0.7377221066922819
BLYP,-0.5633433482037278,-0.6422909530166772,-0.7740060576229917,-0.6735613197249108,0.6633004196420769
TPSS,-0.8101760005833265,-0.8456300812855764,-0.5705937430581676,-0.4381403173078313,0.6661350355587254
SCAN,-0.25185324265377407,-0.4366508192644689,-0.1576805383847839,-0.15403582281456973,0.25005510577939916
PBE0,-0.6909684134431213,-0.7907970471060555,-0.3611727637796829,-0.1772861962488168,0.5050561051444191
HSE06,-0.6146349837029748,-0.7262022016321863,-0.3482010716092683,-0.183801163542479,0.4682098551217271
B3LYP,-0.27174876387217495,-0.42036188050578716,-0.37772096799891663,-0.2662105119727176,0.3340105310873991
wB97X,-0.34049693729856667,-0.39421111207892157,-0.1541582949367859,-0.09249861367578571,0.24534123949751496
LB2PLYP,-0.09863636912482576,-0.17127164276548434,-0.2822780290105129,-0.0661196035067606,0.1545764111018959
LMP2,0.16309074855933758,0.23327409266656218,0.00705275643956238,-0.05963471237286555,0.11576307750958192
LNO-CCSD,0.26925135103896736,0.05712925159426874,0.32378343938844445,0.05087375341932798,0.17525944886025213
LNO-CCSD(T),0.0,0.0,0.0,0.0,0.0
MAE,0.548779972603471,0.6336746245052757,0.450990140831359,0.31610356230691894,0.0
