,MgO Bulk,MgO Surface,TiO2 Bulk,TiO2 Surface,MAE
PBE,-0.49185033617117213,-0.5086162269577077,-0.23898452479313192,-0.054848585303904684,0.3235749183064791
BP86,-0.33672050433662193,-0.38334345379546697,-0.22773459047492395,-0.03716266232698828,0.24624030273350028
BLYP,-0.2158268298225643,-0.29477443463551367,-0.4264895392418282,-0.32604480134374825,0.3157839012609136
TPSS,-0.6486596134292224,-0.6841136941314723,-0.40907735590406347,-0.2766239301537272,0.5046186484046213
SCAN,-0.07528419336181713,-0.260081769972512,0.01888851090717303,0.022533226477387203,0.09419692517972234
PBE0,-0.5831034085655826,-0.6829320422285168,-0.2533077589021442,-0.06942119137127811,0.3971911002668804
HSE06,-0.531492293085714,-0.6430595110149255,-0.2650583809920075,-0.10065847292521823,0.3850671645044663
B3LYP,-0.19252979296927109,-0.3411429096028833,-0.29850199709601277,-0.18699154106981375,0.2547915601844952
wB97X,-0.21867895780676783,-0.2723931325871227,-0.032340315444987056,0.029319365816013132,0.13818294291372268
LB2PLYP,-0.0008566213027538794,-0.07349189494341246,-0.18449828118844103,0.03166014431531039,0.07262673543747944
LMP2,0.40725585001682774,0.47743919412405234,0.25121785789705164,0.1845303890846246,0.3301108227806391
LNO-CCSD,0.0879869504116737,-0.12413514903302492,0.1425190387611508,-0.13039064720796567,0.12125794635345377
LNO-CCSD(T),0.0,0.0,0.0,0.0,0.0
MAE,0.32950025508514874,0.41439490698695336,0.23548812549447132,0.11352639211033892,0.0
