,MgO Bulk,MgO Surface,TiO2 Bulk,TiO2 Surface
PBE,7.157252698694409,6.644446251766292,6.164456181937998,5.500755431267901
BP86,7.312382530528959,6.769719024928532,6.175706116256206,5.518441354244818
BLYP,7.433276205043017,6.858288044088486,5.976951167489302,5.229559215228058
TPSS,7.0004434214363584,6.468948784592527,5.994363350827067,5.278980086418079
SCAN,7.573818841503764,6.892980708751487,6.422329217638303,5.578137243049193
PBE0,7.065999626299998,6.470130436495483,6.150132947828986,5.486182825200528
HSE06,7.117610741779867,6.510002967709074,6.138382325739123,5.454945543646588
B3LYP,7.45657324189631,6.811919569121116,6.1049387096351175,5.368612475501992
wB97X,7.430424077058813,6.880669346136877,6.371100391286143,5.584923382387819
LB2PLYP,7.648246413562827,7.079570583780587,6.218942425542689,5.587264160887116
LMP2,8.056358884882409,7.630501672848052,6.654658564628182,5.7401344056564305
LNO-CCSD,7.7370899852772546,7.0289273296909744,6.545959745492281,5.42521336936384
LNO-CCSD(T),7.649103034865581,7.153062478723999,6.40344070673113,5.555604016571806
